black1,red1,strike1,black2,red2,strike2,title,start_date_f,end_date_f,lat,lng,address,description,tags,source
0,0,0,0,1,0,Manga Madness! ,2015-08-08T16:00:00Z,2015-08-08T18:00:00Z,41.936689,-87.786083,"3104 N. Narragansett Avenue, Chicago, IL 60634",Love manga comics? Create a manga comic book this summer! ,art,library
0,0,0,0,0,0,Underground Feedback Stereo,2015-08-08T18:00:00Z,2015-08-08T19:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Learn basic recording techniques, music publishing, social media promotion and music production. We will guide you through the process of becoming an independent musician.",art,library
0,0,0,0,0,0,Teen Challenge Wrap Party,2015-08-08T19:00:00Z,2015-08-08T21:00:00Z,41.808817,-87.675101,"2111 W. 47th Street, Chicago, IL 60609",Finish earning your teen challenge badges and celebrate with a party!,art/entertainment,library
0,0,0,0,0,0,Science Saturday,2015-08-08T19:00:00Z,2015-08-08T20:00:00Z,41.87934,-87.725415,"115 S. Pulaski Road, Chicago, IL 60624",Love science? So do we! Each month over the summer we'll be doing some great science experiments and activities. This month explore air movement by creating an air vortex gun!,art/entertainment,library
1,0,0,0,0,0,Introduction to Video &amp; Photography,2015-08-08T19:00:00Z,2015-08-08T20:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Take your knowledge of video and photography to a new level by planning a solo or group trip to a place of your choice. The trip will require research into a location, a theme, other artists, and planning, but the results will be totally unique!",art/entertainment,library
0,0,0,0,0,0,Electronics 101,2015-08-10T18:00:00Z,2015-08-10T19:00:00Z,41.80105,-87.726459,"5055 S. Archer Avenue, Chicago, IL 60632","Ever wondered how a light switch works? Or why a bird can sit on a power line without getting shocked? You can get the answers and start making your own basic electronics in just a few minutes! Every Monday through August 24, we'll have a drop-in, hands-on workshop for kids and teens.",art/entertainment,library
0,0,0,0,0,0,Lunch Bus,2015-08-10T18:30:00Z,2015-08-10T19:00:00Z,41.830263,-87.673465,"1915 W. 35th Street , Chicago, IL 60609",The Greater Chicago Food Depository's Summer Lunch Bus brings healthy meals to children 18 and under Monday through Friday from June 22 to September 4 (Except July 3rd).  All meals must be eaten on-site.,art/entertainment,library
0,0,0,0,0,0,YOUmedia Open Hours,2015-08-10T20:00:00Z,2015-08-10T22:30:00Z,41.857801,-87.661115,"1805 S. Loomis Street, Chicago, IL 60608","Come hang out and mess around with all our tech gear, including laptops, a 3D printer, a sticker maker and video games. Learn how to make simple crafts like buttons to stop motion animation. Every day is different so feel free to drop in!",art/entertainment,library
0,1,0,0,0,0,Teen Summer Challenge Finale Party,2015-08-10T20:00:00Z,2015-08-10T23:00:00Z,41.909437,-87.768889,"5724 W. North Avenue, Chicago, IL 60639","<img src=""https://chipublib.bibliocommons.com/events/images/full/f3d07cfd4f4e1cb33db57f37a714fee2/Defy Gravity 300x230.jpg"" unselectable=""on"">Come celebrate the end of the Teen Summer Challenge! Share your discoveries and creations, explorations and achievements! Tell us how YOU defied gravity this summer.",art/entertainment,library
0,0,0,0,0,0,Teen Book Club: The 5th Wave,2015-08-10T21:00:00Z,2015-08-10T22:00:00Z,41.938837,-87.754554,"5108 W. Belmont Avenue, Chicago, IL 60641","Earth has been invaded by aliens who are hard to tell apart from humans.  When Cassie searches for her younger brother she gets help, but is it from a friend or a foe? <a id=""ember8366"" href=""/item/show/8881511081"" data-add-title-link=""8881511081"">The 5th Wave</a> is available at the branch for check out.  Ages 11 &amp; up welcome.",entertainment,library
0,0,0,0,0,0,YOUmedia Teen Space,2015-08-11T19:00:00Z,2015-08-11T23:00:00Z,41.808817,-87.675101,"2111 W. 47th Street, Chicago, IL 60609","Come hang out, mess around and geek out!",art/entertainment,library
0,0,0,0,0,0,YOUmedia New Media Arts in Painting &amp; Drawing,2015-08-11T21:00:00Z,2015-08-11T23:00:00Z,41.857801,-87.661115,"1805 S. Loomis Street, Chicago, IL 60608","Arts and crafts aficionados use Fresh Paint, a new media arts Microsoft app, to paint and draw on canvases in ways that make the end product look like it was handmade.",art/entertainment,library
0,0,0,0,0,0,Tactical Tuesday,2015-08-11T21:00:00Z,2015-08-11T22:00:00Z,41.87934,-87.725415,"115 S. Pulaski Road, Chicago, IL 60624",Love games and gaming? Then you need to come meet some other teens with similar interests and check out our PS3 and game collection while you're at it. For teens in grades 9 through 12.,art/entertainment,library
